case_id,ground_truth_domain,prefix_depth,observer_id,usage_mode,canonical_run_id,cnl_line_count,predicted_domain,accuracy,domain_entropy,equivalence_compression,question_available,canonical_families,retained_domains
package-routing,package,1,coarse,canonical-cnl,package_routing_p1_coarse,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-routing,package,1,rich,canonical-cnl,package_routing_p1_rich,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-routing,package,2,coarse,canonical-cnl,package_routing_p2_coarse,437,package,1,1.239,3,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.673;manuscript:0.164;sample:0.164
package-routing,package,2,rich,canonical-cnl,package_routing_p2_rich,387,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-routing,package,3,coarse,canonical-cnl,package_routing_p3_coarse,408,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-routing,package,3,rich,canonical-cnl,package_routing_p3_rich,416,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-routing,package,4,coarse,canonical-cnl,package_routing_p4_coarse,441,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-routing,package,4,rich,canonical-cnl,package_routing_p4_rich,449,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-generic,package,1,coarse,canonical-cnl,package_generic_p1_coarse,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-generic,package,1,rich,canonical-cnl,package_generic_p1_rich,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-generic,package,2,coarse,canonical-cnl,package_generic_p2_coarse,417,package,1,1.239,3,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.673;manuscript:0.164;sample:0.164
package-generic,package,2,rich,canonical-cnl,package_generic_p2_rich,417,package,1,1.239,3,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.673;manuscript:0.164;sample:0.164
package-generic,package,3,coarse,canonical-cnl,package_generic_p3_coarse,418,package,1,1.239,3,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.673;manuscript:0.164;sample:0.164
package-generic,package,3,rich,canonical-cnl,package_generic_p3_rich,418,package,1,1.239,3,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.673;manuscript:0.164;sample:0.164
package-generic,package,4,coarse,canonical-cnl,package_generic_p4_coarse,409,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-generic,package,4,rich,canonical-cnl,package_generic_p4_rich,409,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-barcode,package,1,coarse,canonical-cnl,package_barcode_p1_coarse,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-barcode,package,1,rich,canonical-cnl,package_barcode_p1_rich,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-barcode,package,2,coarse,canonical-cnl,package_barcode_p2_coarse,404,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-barcode,package,2,rich,canonical-cnl,package_barcode_p2_rich,375,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-barcode,package,3,coarse,canonical-cnl,package_barcode_p3_coarse,380,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-barcode,package,3,rich,canonical-cnl,package_barcode_p3_rich,392,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-barcode,package,4,coarse,canonical-cnl,package_barcode_p4_coarse,413,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-barcode,package,4,rich,canonical-cnl,package_barcode_p4_rich,425,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-manifest,package,1,coarse,canonical-cnl,package_manifest_p1_coarse,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-manifest,package,1,rich,canonical-cnl,package_manifest_p1_rich,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-manifest,package,2,coarse,canonical-cnl,package_manifest_p2_coarse,384,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-manifest,package,2,rich,canonical-cnl,package_manifest_p2_rich,359,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-manifest,package,3,coarse,canonical-cnl,package_manifest_p3_coarse,384,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-manifest,package,3,rich,canonical-cnl,package_manifest_p3_rich,396,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-manifest,package,4,coarse,canonical-cnl,package_manifest_p4_coarse,405,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-manifest,package,4,rich,canonical-cnl,package_manifest_p4_rich,417,package,1,0,4,0,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;ALIGNMENT,package:1
package-return,package,1,coarse,canonical-cnl,package_return_p1_coarse,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-return,package,1,rich,canonical-cnl,package_return_p1_rich,383,package,1,1.255,6,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.665;manuscript:0.168;sample:0.168
package-return,package,2,coarse,canonical-cnl,package_return_p2_coarse,437,package,1,1.239,3,1,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;ALIGNMENT,package:0.673;manuscript:0.164;sample:0.164
