case_id,observer_id,prefix_depth,usage_mode,canonical_run_id,cnl_line_count,update_cnl_line_count,question_id,prompt,gold_answer,domain_before,domain_after,entropy_before,entropy_after,accuracy_before,accuracy_after,information_gain,canonical_families
package-routing,coarse,2,canonical-cnl,package_routing_p2_coarse,442,418,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,coarse,2,canonical-cnl,package_generic_p2_coarse,422,398,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,rich,2,canonical-cnl,package_generic_p2_rich,422,398,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,coarse,3,canonical-cnl,package_generic_p3_coarse,423,399,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-generic,rich,3,canonical-cnl,package_generic_p3_rich,423,399,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-barcode,coarse,2,canonical-cnl,package_barcode_p2_coarse,409,386,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.255,0,1,1,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-manifest,coarse,2,canonical-cnl,package_manifest_p2_coarse,389,366,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.255,0,1,1,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-return,coarse,2,canonical-cnl,package_return_p2_coarse,442,418,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-transfer,coarse,2,canonical-cnl,package_transfer_p2_coarse,422,398,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
package-transfer,rich,2,canonical-cnl,package_transfer_p2_rich,422,398,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,yes,package,package,1.239,0,1,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-identified,coarse,2,canonical-cnl,sample_identified_p2_coarse,442,451,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-generic,coarse,2,canonical-cnl,sample_generic_p2_coarse,442,451,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-generic,rich,2,canonical-cnl,sample_generic_p2_rich,442,451,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-freezer,coarse,2,canonical-cnl,sample_freezer_p2_coarse,409,418,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.255,1,0,0,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-aliquot,coarse,2,canonical-cnl,sample_aliquot_p2_coarse,442,451,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-cold-room,coarse,2,canonical-cnl,sample_cold_room_p2_coarse,422,431,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-cold-room,rich,2,canonical-cnl,sample_cold_room_p2_rich,422,431,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
sample-centrifuge,coarse,2,canonical-cnl,sample_centrifuge_p2_coarse,442,451,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,0,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-submission,coarse,2,canonical-cnl,manuscript_submission_p2_coarse,409,418,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.255,1,0,1,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-generic,coarse,2,canonical-cnl,manuscript_generic_p2_coarse,422,431,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-generic,rich,2,canonical-cnl,manuscript_generic_p2_rich,422,431,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-generic,coarse,3,canonical-cnl,manuscript_generic_p3_coarse,423,432,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-editorial-queue,coarse,2,canonical-cnl,manuscript_editorial_queue_p2_coarse,409,418,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.255,1,0,1,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-peer-review,coarse,2,canonical-cnl,manuscript_peer_review_p2_coarse,389,398,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.255,1,0,1,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-revision-cycle,coarse,2,canonical-cnl,manuscript_revision_cycle_p2_coarse,409,418,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.255,1,0,1,0.92,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT
manuscript-accepted,coarse,2,canonical-cnl,manuscript_accepted_p2_coarse,422,431,package-dispatch,Is there evidence that it was dispatched to a recipient or destination?,no,package,manuscript,1.239,1,0,1,0.912,RUN;SOURCE;SEGMENT;OBSERVER;BUDGET;CONTEXT;HYPOTHESIS;OBSERVATION;PROVENANCE;HYPOTHESIS_SUPPORT;HYPOTHESIS_CONFIDENCE;AMBIGUITY;THEORY;SCHEMA;MATCHED_STATE;RULE;INVARIANT;COMPOSITION;SUPPORT;THEORY_EVIDENCE;SCORE;TRANSFORM;EQUIVALENCE;CONSEQUENCE;FRONTIER;FRONTIER_MEMBER;DOMAIN_WEIGHT;QUESTION;QUESTION_CLASS;QUESTION_ANSWER;QUESTION_PARTITION;ALIGNMENT