case_id,case_group,prefix_depth,ground_truth_domain,usage_mode,canonical_run_id,canonical_families,predicted_domain,top_weight,domain_entropy,frontier_width,support_gap,uncertainty_score,open_set_candidate,false_closure_risk,question_available,recommended_question
hybrid-legal-quality,hybrid,3,,canonical-cnl,hybrid-legal-quality_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.372,0.2,0,0,0,
hybrid-legal-quality,hybrid,4,,canonical-cnl,hybrid-legal-quality_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.372,0.2,0,0,0,
hybrid-clinical-logistics,hybrid,2,,canonical-cnl,hybrid-clinical-logistics_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.512,1.974,8,0,1,1,0,1,package-dispatch
hybrid-clinical-logistics,hybrid,3,,canonical-cnl,hybrid-clinical-logistics_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.372,0.2,0,0,0,
hybrid-clinical-logistics,hybrid,4,,canonical-cnl,hybrid-clinical-logistics_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.372,0.2,0,0,0,
package-manifest__controlled,in-domain,2,package,canonical-cnl,package-manifest__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.352,0.2,0,0,0,
package-manifest__controlled,in-domain,3,package,canonical-cnl,package-manifest__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-manifest__controlled,in-domain,4,package,canonical-cnl,package-manifest__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-manifest__paraphrased,in-domain,2,package,canonical-cnl,package-manifest__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.352,0.2,0,0,0,
package-manifest__paraphrased,in-domain,3,package,canonical-cnl,package-manifest__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-manifest__paraphrased,in-domain,4,package,canonical-cnl,package-manifest__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-manifest__noisy,in-domain,2,package,canonical-cnl,package-manifest__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.352,0.2,0,0,0,
package-manifest__noisy,in-domain,3,package,canonical-cnl,package-manifest__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-manifest__noisy,in-domain,4,package,canonical-cnl,package-manifest__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-return__controlled,in-domain,2,package,canonical-cnl,package-return__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-return__controlled,in-domain,3,package,canonical-cnl,package-return__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.812,0.2,0,0,0,
package-return__controlled,in-domain,4,package,canonical-cnl,package-return__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,1.112,0.2,0,0,0,
package-return__paraphrased,in-domain,2,package,canonical-cnl,package-return__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-return__paraphrased,in-domain,3,package,canonical-cnl,package-return__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-return__paraphrased,in-domain,4,package,canonical-cnl,package-return__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-return__noisy,in-domain,2,package,canonical-cnl,package-return__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-return__noisy,in-domain,3,package,canonical-cnl,package-return__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-return__noisy,in-domain,4,package,canonical-cnl,package-return__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.2,0.2,0,0,0,
package-transfer__controlled,in-domain,2,package,canonical-cnl,package-transfer__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.586,1.634,7,0,0.8,1,0,1,package-dispatch
package-transfer__controlled,in-domain,3,package,canonical-cnl,package-transfer__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.612,0.2,0,0,0,
package-transfer__controlled,in-domain,4,package,canonical-cnl,package-transfer__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.912,0.2,0,0,0,
package-transfer__paraphrased,in-domain,2,package,canonical-cnl,package-transfer__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.586,1.634,7,0,0.8,1,0,1,package-dispatch
package-transfer__paraphrased,in-domain,3,package,canonical-cnl,package-transfer__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.352,0.2,0,0,0,
package-transfer__paraphrased,in-domain,4,package,canonical-cnl,package-transfer__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.652,0.2,0,0,0,
package-transfer__noisy,in-domain,2,package,canonical-cnl,package-transfer__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.586,1.634,7,0,0.8,1,0,1,package-dispatch
package-transfer__noisy,in-domain,3,package,canonical-cnl,package-transfer__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.352,0.2,0,0,0,
package-transfer__noisy,in-domain,4,package,canonical-cnl,package-transfer__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,package,1,0,4,0.652,0.2,0,0,0,
sample-aliquot__controlled,in-domain,2,sample,canonical-cnl,sample-aliquot__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.312,0.2,0,0,0,
sample-aliquot__controlled,in-domain,3,sample,canonical-cnl,sample-aliquot__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.852,0.2,0,0,0,
sample-aliquot__controlled,in-domain,4,sample,canonical-cnl,sample-aliquot__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,1.072,0.2,0,0,0,
sample-aliquot__paraphrased,in-domain,2,sample,canonical-cnl,sample-aliquot__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.312,0.2,0,0,0,
sample-aliquot__paraphrased,in-domain,3,sample,canonical-cnl,sample-aliquot__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.592,0.2,0,0,0,
sample-aliquot__paraphrased,in-domain,4,sample,canonical-cnl,sample-aliquot__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.592,0.2,0,0,0,
sample-aliquot__noisy,in-domain,2,sample,canonical-cnl,sample-aliquot__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.312,0.2,0,0,0,
sample-aliquot__noisy,in-domain,3,sample,canonical-cnl,sample-aliquot__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.592,0.2,0,0,0,
