case_id,case_group,prefix_depth,ground_truth_domain,usage_mode,canonical_run_id,canonical_families,predicted_domain,top_weight,domain_entropy,frontier_width,support_gap,uncertainty_score,open_set_candidate,false_closure_risk,question_available,recommended_question
sample-aliquot__noisy,in-domain,4,sample,canonical-cnl,sample-aliquot__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.592,0.2,0,0,0,
sample-cold-room__controlled,in-domain,2,sample,canonical-cnl,sample-cold-room__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.586,1.634,7,0,0.8,1,0,1,package-dispatch
sample-cold-room__controlled,in-domain,3,sample,canonical-cnl,sample-cold-room__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.632,0.2,0,0,0,
sample-cold-room__controlled,in-domain,4,sample,canonical-cnl,sample-cold-room__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.852,0.2,0,0,0,
sample-cold-room__paraphrased,in-domain,2,sample,canonical-cnl,sample-cold-room__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.586,1.634,7,0,0.8,1,0,1,package-dispatch
sample-cold-room__paraphrased,in-domain,3,sample,canonical-cnl,sample-cold-room__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.352,0.2,0,0,0,
sample-cold-room__paraphrased,in-domain,4,sample,canonical-cnl,sample-cold-room__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.572,0.2,0,0,0,
sample-cold-room__noisy,in-domain,2,sample,canonical-cnl,sample-cold-room__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|QUESTION|QUESTION_CLASS|QUESTION_ANSWER|QUESTION_PARTITION|ALIGNMENT,package,0.586,1.634,7,0,0.8,1,0,1,package-dispatch
sample-cold-room__noisy,in-domain,3,sample,canonical-cnl,sample-cold-room__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.352,0.2,0,0,0,
sample-cold-room__noisy,in-domain,4,sample,canonical-cnl,sample-cold-room__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.572,0.2,0,0,0,
sample-centrifuge__controlled,in-domain,2,sample,canonical-cnl,sample-centrifuge__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.312,0.2,0,0,0,
sample-centrifuge__controlled,in-domain,3,sample,canonical-cnl,sample-centrifuge__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.832,0.2,0,0,0,
sample-centrifuge__controlled,in-domain,4,sample,canonical-cnl,sample-centrifuge__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,1.052,0.2,0,0,0,
sample-centrifuge__paraphrased,in-domain,2,sample,canonical-cnl,sample-centrifuge__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.312,0.2,0,0,0,
sample-centrifuge__paraphrased,in-domain,3,sample,canonical-cnl,sample-centrifuge__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.552,0.2,0,0,0,
sample-centrifuge__paraphrased,in-domain,4,sample,canonical-cnl,sample-centrifuge__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.552,0.2,0,0,0,
sample-centrifuge__noisy,in-domain,2,sample,canonical-cnl,sample-centrifuge__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.312,0.2,0,0,0,
sample-centrifuge__noisy,in-domain,3,sample,canonical-cnl,sample-centrifuge__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.552,0.2,0,0,0,
sample-centrifuge__noisy,in-domain,4,sample,canonical-cnl,sample-centrifuge__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,sample,1,0,4,0.552,0.2,0,0,0,
manuscript-peer-review__controlled,in-domain,2,manuscript,canonical-cnl,manuscript-peer-review__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-peer-review__controlled,in-domain,3,manuscript,canonical-cnl,manuscript-peer-review__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.792,0.2,0,0,0,
manuscript-peer-review__controlled,in-domain,4,manuscript,canonical-cnl,manuscript-peer-review__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,3,1.332,0.2,0,0,0,
manuscript-peer-review__paraphrased,in-domain,2,manuscript,canonical-cnl,manuscript-peer-review__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-peer-review__paraphrased,in-domain,3,manuscript,canonical-cnl,manuscript-peer-review__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.532,0.2,0,0,0,
manuscript-peer-review__paraphrased,in-domain,4,manuscript,canonical-cnl,manuscript-peer-review__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.4,0.2,0,0,0,
manuscript-peer-review__noisy,in-domain,2,manuscript,canonical-cnl,manuscript-peer-review__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-peer-review__noisy,in-domain,3,manuscript,canonical-cnl,manuscript-peer-review__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.532,0.2,0,0,0,
manuscript-peer-review__noisy,in-domain,4,manuscript,canonical-cnl,manuscript-peer-review__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.4,0.2,0,0,0,
manuscript-revision-cycle__controlled,in-domain,2,manuscript,canonical-cnl,manuscript-revision-cycle__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-revision-cycle__controlled,in-domain,3,manuscript,canonical-cnl,manuscript-revision-cycle__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,1.032,0.2,0,0,0,
manuscript-revision-cycle__controlled,in-domain,4,manuscript,canonical-cnl,manuscript-revision-cycle__controlled_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,3,1.332,0.2,0,0,0,
manuscript-revision-cycle__paraphrased,in-domain,2,manuscript,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|SCORE|MATCHED_STATE|THEORY_EVIDENCE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-revision-cycle__paraphrased,in-domain,3,manuscript,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|SCORE|MATCHED_STATE|THEORY_EVIDENCE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.532,0.2,0,0,0,
manuscript-revision-cycle__paraphrased,in-domain,4,manuscript,canonical-cnl,manuscript-revision-cycle__paraphrased_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.46,0.2,0,0,0,
manuscript-revision-cycle__noisy,in-domain,2,manuscript,canonical-cnl,manuscript-revision-cycle__noisy_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-revision-cycle__noisy,in-domain,3,manuscript,canonical-cnl,manuscript-revision-cycle__noisy_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.532,0.2,0,0,0,
manuscript-revision-cycle__noisy,in-domain,4,manuscript,canonical-cnl,manuscript-revision-cycle__noisy_clean_p4_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|MATCHED_STATE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.46,0.2,0,0,0,
manuscript-accepted__controlled,in-domain,2,manuscript,canonical-cnl,manuscript-accepted__controlled_clean_p2_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.312,0.2,0,0,0,
manuscript-accepted__controlled,in-domain,3,manuscript,canonical-cnl,manuscript-accepted__controlled_clean_p3_rich,RUN|SOURCE|SEGMENT|OBSERVER|BUDGET|CONTEXT|HYPOTHESIS|OBSERVATION|PROVENANCE|HYPOTHESIS_SUPPORT|HYPOTHESIS_CONFIDENCE|AMBIGUITY|THEORY|SCHEMA|MATCHED_STATE|RULE|INVARIANT|COMPOSITION|SUPPORT|THEORY_EVIDENCE|SCORE|TRANSFORM|EQUIVALENCE|CONSEQUENCE|FRONTIER|FRONTIER_MEMBER|DOMAIN_WEIGHT|ALIGNMENT,manuscript,1,0,4,0.792,0.2,0,0,0,
